property,matched,value_diff,polyinfo_only,extraction_only,precision,recall,f1,semantic_recall
order parameter op,0,0,0,2,0.0,0.0,0.0,0.0
oxidized si atomic percentage,0,0,0,1,0.0,0.0,0.0,0.0
oxygen index,6,0,0,0,1.0,1.0,1.0,1.0
partially oxidized si atomic percentage,0,0,0,1,0.0,0.0,0.0,0.0
pbs uptake,0,0,0,1,0.0,0.0,0.0,0.0
percentage crystallinity,0,0,0,3,0.0,0.0,0.0,0.0
quantum efficiency,0,0,0,1,0.0,0.0,0.0,0.0
relative free volume at tg,0,0,0,1,0.0,0.0,0.0,0.0
solubility in dimethyl sulfoxide,0,0,0,2,0.0,0.0,0.0,0.0
solubility in hfip,0,0,0,1,0.0,0.0,0.0,0.0
switching time,0,0,0,2,0.0,0.0,0.0,0.0
thermal conductivity,0,0,0,1,0.0,0.0,0.0,0.0
uv absorption fwhm,0,0,0,1,0.0,0.0,0.0,0.0
uv absorption maximum,0,0,0,1,0.0,0.0,0.0,0.0
uv absorption maximum phenyl s p transition,0,0,0,1,0.0,0.0,0.0,0.0
uv absorption maximum transition,0,0,0,2,0.0,0.0,0.0,0.0
v v0,0,0,0,1,0.0,0.0,0.0,0.0
vfth constant c,0,0,0,1,0.0,0.0,0.0,0.0
vicat softening temperature increase,0,0,0,1,0.0,0.0,0.0,0.0
weight average degree of polymerization of spp,0,0,0,1,0.0,0.0,0.0,0.0
weight loss,0,0,0,2,0.0,0.0,0.0,0.0
weight loss at 320 c,0,0,0,2,0.0,0.0,0.0,0.0
xrd crystallinity,0,0,0,7,0.0,0.0,0.0,0.0
xrd diffraction peak 2theta,0,0,0,6,0.0,0.0,0.0,0.0
yield stress,0,0,0,1,0.0,0.0,0.0,0.0
