ref_no,paired,publication_status,extraction_properties,polyinfo_properties,exact_matched,value_diff,polyinfo_only,extraction_only,polyinfo_process_families,extraction_process_families,missing_process_families,polyinfo_specialized_fields,extraction_specialized_fields,missing_specialized_fields,failure_stages
reference_no_0038813,True,partial,67,72,32,0,40,35,"[""polymerization""]","[""polymerization""]",[],"[""average_molecular_weight"", ""characteristics_of_material"", ""primary_structure_informations"", ""solution_viscosity""]","[""average_molecular_weight"", ""morphology"", ""solution_viscosity""]","[""characteristics_of_material"", ""primary_structure_informations""]",[]
reference_no_0039705,True,partial,18,48,12,0,36,6,"[""polymerization""]","[""polymerization"", ""post_treatment""]",[],"[""average_molecular_weight"", ""characteristics_of_material"", ""morphology"", ""primary_structure_informations""]","[""average_molecular_weight""]","[""characteristics_of_material"", ""morphology"", ""primary_structure_informations""]","[""stage5""]"
reference_no_0041326,True,complete,52,80,0,32,48,20,"[""forming"", ""polymerization"", ""sample_shape""]","[""mixing_blending""]","[""forming"", ""polymerization"", ""sample_shape""]","[""characteristics_of_material""]",[],"[""characteristics_of_material""]","[""stage4""]"
reference_no_0041387,True,partial,35,71,26,9,36,0,"[""polymerization"", ""sample_shape""]","[""forming"", ""polymerization""]","[""sample_shape""]","[""characteristics_of_material"", ""primary_structure_informations"", ""solution_viscosity""]","[""solution_viscosity""]","[""characteristics_of_material"", ""primary_structure_informations""]","[""stage3"", ""stage5""]"
reference_no_0042246,True,partial,21,144,2,9,133,10,"[""forming"", ""mixing_blending"", ""polymerization"", ""sample_shape""]","[""forming"", ""mixing_blending"", ""polymerization""]","[""sample_shape""]","[""characteristics_of_material"", ""crystallinity"", ""primary_structure_informations""]",[],"[""characteristics_of_material"", ""crystallinity"", ""primary_structure_informations""]","[""stage5""]"
reference_no_0042367,True,complete,14,43,1,9,33,4,"[""forming"", ""mixing_blending"", ""sample_shape""]","[""forming"", ""mixing_blending""]","[""sample_shape""]","[""characteristics_of_material""]","[""crystallinity""]","[""characteristics_of_material""]","[""stage5""]"
reference_no_0042480,True,partial,40,28,17,3,8,20,"[""forming"", ""polymerization"", ""sample_shape""]","[""forming"", ""polymerization"", ""post_treatment""]","[""sample_shape""]","[""characteristics_of_material"", ""solution_viscosity""]",[],"[""characteristics_of_material"", ""solution_viscosity""]",[]
reference_no_0043541,True,partial,4,16,0,0,16,4,"[""polymerization""]","[""polymerization""]",[],"[""average_molecular_weight"", ""characteristics_of_material"", ""primary_structure_informations""]","[""primary_structure_informations""]","[""average_molecular_weight"", ""characteristics_of_material""]","[""stage3"", ""stage5""]"
reference_no_0043590,True,partial,21,32,0,1,31,20,"[""forming"", ""mixing_blending"", ""sample_shape""]","[""forming"", ""mixing_blending""]","[""sample_shape""]","[""characteristics_of_material"", ""morphology""]","[""morphology""]","[""characteristics_of_material""]","[""stage5""]"
reference_no_0043955,True,complete,2,24,1,0,23,1,"[""forming"", ""polymerization"", ""sample_shape""]","[""polymerization""]","[""forming"", ""sample_shape""]","[""average_molecular_weight"", ""characteristics_of_material"", ""primary_structure_informations""]","[""average_molecular_weight""]","[""characteristics_of_material"", ""primary_structure_informations""]","[""stage5""]"
reference_no_0073324,True,partial,5,54,2,0,52,3,"[""polymerization"", ""sample_shape""]","[""polymerization""]","[""sample_shape""]","[""characteristics_of_material"", ""primary_structure_informations"", ""solution_viscosity""]",[],"[""characteristics_of_material"", ""primary_structure_informations"", ""solution_viscosity""]","[""stage3""]"
reference_no_0101911,True,partial,10,47,3,2,42,5,"[""forming"", ""mixing_blending"", ""polymerization"", ""sample_shape""]","[""mixing_blending""]","[""forming"", ""polymerization"", ""sample_shape""]","[""characteristics_of_material"", ""morphology"", ""primary_structure_informations""]","[""morphology""]","[""characteristics_of_material"", ""primary_structure_informations""]","[""stage5""]"
